# mass counts
10 109 
11 90 
12 117 
13 88 
14 106 
15 112 
16 105 
17 114 
18 94 
19 96 
20 111 
21 90 
22 95 
23 116 
24 105 
25 115 
26 90 
27 77 
28 103 
29 110 
30 102 
31 95 
32 110 
33 92 
34 103 
35 105 
36 92 
37 104 
38 100 
39 91 
40 107 
41 86 
42 111 
43 88 
44 106 
45 94 
46 117 
47 104 
48 114 
49 110 
50 95 
51 111 
52 112 
53 104 
54 88 
55 97 
56 87 
57 102 
58 101 
59 104 
60 121 
61 96 
62 81 
63 96 
64 96 
65 97 
66 85 
67 93 
68 97 
69 106 
70 112 
71 91 
72 116 
73 106 
74 107 
75 113 
76 97 
77 99 
78 102 
79 138 
80 144 
81 114 
82 116 
83 102 
84 114 
85 84 
86 88 
87 102 
88 97 
89 95 
90 107 
91 93 
92 111 
93 114 
94 79 
95 110 
96 100 
97 99 
98 104 
99 99 
100 97 
